canonical_sku,sku,ls_id,make,model,tag_main_category,tag_subcategory,tag_brand,tag_product_name,flags
MERC-115HP-115PROXS-LS,2023-MERCURY-115-PRO-XS-34500,34500,Mercury,115 Pro XS,Marine,Outboards,Mercury,115 HP Pro XS Outboard,
EASY-AL-PTDB2023-LS,2026-EASY-HAULER-AL-PTDB2023-306,54211,Easy Hauler,AL-PTDB2023,Marine,Boat Trailers,Easy Hauler,DRIVE ON BUNK BLACK,
MERC-20HP-ME20MLH4S-LS,2023-MERCURY-ME-20-MLH-4S-59,34055,Mercury,ME 20 MLH 4S,Marine,Outboards,Mercury,20 HP Outboard,
CC-13APA1TEA10-LS,2026-CUB-CADET-13APA1TEA10-13APA1TEA10,57675,Cub Cadet,13APA1TEA10,Power Equipment,Riding Lawn Mowers,Cub Cadet,XT2 LX42,
MERC-25HP-ME25MH4STM-LS,2021-MERCURY-ME-2.5MH-4S-TMC-11,33935,Mercury,ME 2.5MH 4S TMC,Marine,Outboards,Mercury,2.5 HP Outboard,
MERC-8HP-ME8MH4STMC-LS,2022-MERCURY-ME-8MH-4S-TMC-38,34004,Mercury,ME 8MH 4S TMC,Marine,Outboards,Mercury,8 HP Outboard,
MERC-35HP-ME35MH4STM-LS,2023-MERCURY-ME-3.5MH-4S-TMC-13,33939,Mercury,ME 3.5MH 4S TMC,Marine,Outboards,Mercury,3.5 HP Outboard,
MERC-20HP-ME20EH4S-LS,2025-MERCURY-ME-20-EH-4S-91,34064,Mercury,ME 20 EH 4S,Marine,Outboards,Mercury,20 HP Electric Start Outboard,
CC-13APA1TEA10-LS,2026-CUB-CADET-13APA1TEA10-13APA1TEA10,57676,Cub Cadet,13APA1TEA10,Power Equipment,Riding Lawn Mowers,Cub Cadet,XT2 LX42,DUPLICATE SKU (first ls_id: 57675)
MERC-60HP-ME60ELHPTC-LS,2025-MERCURY-ME-60-ELHPT-CT-4S-95,34076,Mercury,ME 60 ELHPT CT 4S,Marine,Outboards,Mercury,60 HP Electric Start Command Thrust Outboard,
MERC-25HP-ME25ELHPTE-LS,2024-MERCURY-ME-25-ELHPT-EFI-4S-98,34082,Mercury,ME 25 ELHPT EFI 4S,Marine,Outboards,Mercury,25 HP Electric Start EFI Outboard,
MERC-4HP-ME4MH4S-LS,2022-MERCURY-ME-4MH-4S-15,33943,Mercury,ME 4MH 4S,Marine,Outboards,Mercury,4 HP Outboard,
MERC-25HP-ME25ELPTEF-LS,2023-MERCURY-ME-25-ELPT-EFI-4S-100,34088,Mercury,ME 25 ELPT EFI 4S,Marine,Outboards,Mercury,25 HP EFI Outboard,
MERC-20HP-ME20MLH4S-LS,2022-MERCURY-ME-20-MLH-4S-104,34096,Mercury,ME 20 MLH 4S,Marine,Outboards,Mercury,20 HP Outboard,
MERC-30HP-ME30ELHPTE-LS,2023-MERCURY-ME-30-ELHPT-EFI-4S-106,34098,Mercury,ME 30 ELHPT EFI 4S,Marine,Outboards,Mercury,30 HP Electric Start EFI Outboard,
MERC-30HP-ME30ELPTEF-LS,2022-MERCURY-ME-30-ELPT-EFI-4S-108,34102,Mercury,ME 30 ELPT EFI 4S,Marine,Outboards,Mercury,30 HP EFI Outboard,
MERC-30HP-ME30ELHPTE-LS,2023-MERCURY-ME-30-ELHPT-EFI-4S-110,34104,Mercury,ME 30 ELHPT EFI 4S,Marine,Outboards,Mercury,30 HP Electric Start EFI Outboard,
EASY-AL-PTDB2026-TRI-LS,2022-EASY-HAULER-AL-PTDB2026-TRI-307,54212,Easy Hauler,AL-PTDB2026-TRI,Marine,Boat Trailers,Easy Hauler,DRIVE ON BUNK TRI TRAILER 20' 2600#,
EASY-AL-PTDB2026-TRI-LS,2022-EASY-HAULER-AL-PTDB2026-TRI-308,54217,Easy Hauler,AL-PTDB2026-TRI,Marine,Boat Trailers,Easy Hauler,DRIVE ON BUNK TRI TRAILER 20' 2600#,
CC-13APA1TEA10-LS,2026-CUB-CADET-13APA1TEA10-13APA1TEA10,57677,Cub Cadet,13APA1TEA10,Power Equipment,Riding Lawn Mowers,Cub Cadet,XT2 LX42,DUPLICATE SKU (first ls_id: 57675)
MERC-4HP-ME4MH4S-LS,2024-MERCURY-ME-4MH-4S-16,33946,Mercury,ME 4MH 4S,Marine,Outboards,Mercury,4 HP Outboard,
